Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826287, Image Name = elps_eye34_2015-06-04_08-39-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826278, Image Name = elps_eye34_2015-06-04_08-45-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826239, Image Name = elps_eye34_2015-06-04_08-38-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826137, Image Name = elps_eye34_2015-06-04_08-44-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826115, Image Name = elps_eye34_2015-06-04_08-48-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826116, Image Name = elps_eye34_2015-06-04_08-42-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826108, Image Name = elps_eye34_2015-06-04_08-39-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826107, Image Name = elps_eye34_2015-06-04_08-38-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 826021, Image Name = elps_eye34_2015-06-04_08-45-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825957, Image Name = elps_eye34_2015-06-04_08-47-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825891, Image Name = elps_eye34_2015-06-04_08-44-45-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825872, Image Name = elps_eye34_2015-06-04_08-48-15-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825827, Image Name = elps_eye34_2015-06-04_08-46-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825764, Image Name = elps_eye34_2015-06-04_08-44-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825547, Image Name = elps_eye34_2015-06-04_08-48-00-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825543, Image Name = elps_eye34_2015-06-05_02-29-45-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825487, Image Name = elps_eye34_2015-06-05_02-30-15-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825405, Image Name = elps_eye34_2015-06-05_02-30-00-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825314, Image Name = elps_eye34_2015-06-05_02-31-00-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825149, Image Name = elps_eye34_2015-06-05_02-31-30-002.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 825104, Image Name = elps_eye34_2015-06-05_02-29-30-257.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 824963, Image Name = elps_eye34_2015-06-05_02-30-45-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 824892, Image Name = elps_eye34_2015-06-05_02-30-30-006.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 824883, Image Name = elps_eye34_2015-06-05_02-31-15-008.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 824703, Image Name = elps_eye34_2015-06-05_02-31-45-003.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 823719, Image Name = elps_eye34_2015-06-05_02-32-00-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 822817, Image Name = elps_eye34_2015-06-05_02-32-15-005.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816812, Image Name = elps_eye33_2015-05-16_02-52-30-004.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816803, Image Name = elps_eye33_2015-05-16_02-51-15-007.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816805, Image Name = elps_eye33_2015-05-16_02-49-45-001.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816747, Image Name = elps_eye34_2015-06-04_08-33-30-000.png, Width = 320, Height = 240
Project ID = 1213, Project Name = CV2019_PROJECT_TEAM09, Image ID = 816739, Image Name = elps_eye33_2015-05-16_02-50-45-005.png, Width = 320, Height = 240
